Year,Author(s),Nebula,Novel,Publisher
2026,Renan Bernardo,Nominee,Disgraced Return of the Kap's Needle,Dark Matter Ink
2026,Amal El-Mohtar,Nominee,The River Has Roots,Tordotcom
2026,Jordan Kurella,Nominee,The Death of Mountains,Lethe Press
2026,Annalee Newitz,Nominee,Automatic Noodle,Tordotcom
2026,Hache Pueyo,Nominee,But Not Too Bold,Tordotcom
2026,Wole Talabi,Nominee,Descent,"Clarkesworld, May 2025"
