Year,Author,Title,Publisher,Award,Already in list?
2019.0,Naomi Novik,Spinning Silver,Del Rey,Winner,Spinning Silver
,,,,,#N/A
2019.0,Madeline Miller,Circe,"Little, Brown",Nominee,Circe
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
2020.0,Alix E. Harrow,The Ten Thousand Doors of January,Redhook,Nominee,The Ten Thousand Doors of January
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
2021.0,Jordan Ifueko,Raybearer,Amulet,Nominee,Raybearer
2021.0,Silvia Moreno-Garcia,Mexican Gothic,Del Rey,Nominee,Mexican Gothic
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
2022.0,Ryka Aoki,Light From Uncommon Stars,Tor,Nominee,Light From Uncommon Stars
2022.0,P. Djèlí Clark,A Master of Djinn,Tordotcom,Nominee,A Master of Djinn
2022.0,Susanna Clarke,Piranesi,Bloomsbury,Nominee,Piranesi
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
,,,,,#N/A
