Year,Author(s),Hugo,Novel,Publisher,Nika,Tom,Tom Date Read,Tom Rating,Tom Shelf,Series,Nika Shelf,Westdac,Westdac Date Read,Westdac Rating,Westdac Shelf
2016.0,Lois McMaster Bujold,,Penric's Demon,Spectrum Literary Agency,,,,,,,,,,,
2016.0,Brandon Sanderson,,Perfect State,Dragonsteel Entertainment,,Read,,,,,,,,,
2016.0,Alastair Reynolds,,Slow Bullets,Tachyon Publications,,,,,,,,,,,
2015.0,"Arlan Andrews, Sr.",,Flow,Analog Science Fiction and Fact,,,,,,,,,,,
2015.0,Tom Kratman,,Big Boys Don't Cry,Castalia House,,,,,,,,,,,
2015.0,John C. Wright,,One Bright Star to Guide Them,Castalia House,,,,,,,,,,,
2015.0,John C. Wright,,Pale Realms of Shade,The Book of Feasts & Seasons (Castalia House),,,,,,,,,,,
2015.0,John C. Wright,,The Plural of Helen of Troy,City Beyond Time: Tales of the Fall of Metachronopolis (Castalia House),,,,,,,,,,,
2014.0,Charles Stross,Winner,Equoid,Tor.com,,,,,,,,,,,
2014.0,Dan Wells,,The Butcher of Khardov,Privateer Press,,,,,,,,,,,
2014.0,Brad R. Torgersen,,The Chaplain's Legacy,Analog Science Fiction and Fact,,,,,,,,,,,
2014.0,Catherynne M. Valente,,Six-Gun Snow White,Subterranean Press,,,,,,,,,,,
2014.0,Andy Duncan/Ellen Klages,,Wakulla Springs,Tor.com,,,,,,,,,,,
2013.0,Brandon Sanderson,Winner,The Emperor's Soul,Tachyon Publications,In the queue,Read,,,,,,,,,
2013.0,Nancy Kress,,"After the Fall, Before the Fall, During the Fall",Tachyon Publications,,,,,,,,,,,
2013.0,Aliette de Bodard,,"On a Red Station, Drifting",Immersion Press,,,,,,,,,,,
2013.0,Mira Grant,,San Diego 2014: The Last Stand of the California Browncoats,Orbit Books,,,,,,,,,,,
2013.0,Jay Lake,,The Stars Do Not Lie,Asimov's Science Fiction,,,,,,,,,,,
2012.0,Kij Johnson,Winner,The Man Who Bridged the Mist,Asimov's Science Fiction,,,,,,,,,,,
2012.0,Mira Grant,,Countdown,Orbit Books,,,,,,,,,,,
2012.0,Carolyn Ives Gilman,,The Ice Owl,Fantasy & Science Fiction,,,,,,,,,,,
2012.0,Mary Robinette Kowal,,Kiss Me Twice,Asimov's Science Fiction,,,,,,,,,,,
2012.0,Ken Liu,,The Man Who Ended History: A Documentary,Panverse 3 (Panverse Publishing),,,,,,,,,,,
2012.0,Catherynne M. Valente,,Silently and Very Fast,WSFA Press,,,,,,,,,,,
2011.0,Ted Chiang,Winner,The Lifecycle of Software Objects,Subterranean Press,,,,,,,,,,,
2011.0,Rachel Swirsky,,The Lady Who Plucked Red Flowers Beneath the Queen's Window,Subterranean Magazine,In the queue,,,,,,,,,,
2011.0,Elizabeth Hand,,The Maiden Flight of McCauley's Bellerophon,Stories: New Tales (Morrow),,,,,,,,,,,
2011.0,Geoffrey A. Landis,,The Sultan of the Clouds,Asimov's Science Fiction,,,,,,,,,,,
2011.0,Alastair Reynolds,,Troika,Godlike Machines (Science Fiction Book Club),,,,,,,,,,,
2010.0,Charles Stross,Winner,Palimpsest,Wireless (Ace Books),,,,,,,,,,,
2010.0,Nancy Kress,,Act One,Asimov's Science Fiction,,,,,,,,,,,
2010.0,John Scalzi,,The God Engines,Subterranean Press,,,,,,,,,,,
2010.0,James Morrow,,Shambling Towards Hiroshima,Tachyon Publications,,,,,,,,,,,
2010.0,Ian McDonald,,Vishnu at the Cat Circus,Cyberabad Days (Pyr),,,,,,,,,,,
2010.0,Kage Baker,,The Women of Nell Gwynne's,Subterranean Press,,,,,,,,,,,
2009.0,Nancy Kress,Winner,The Erdmann Nexus,Asimov's Science Fiction,,,,,,,,,,,
2009.0,Robert Reed,,Truth,Asimov's Science Fiction,,,,,,,,,,,
2009.0,Ian McDonald,,The Tear,Galactic Empires (Science Fiction Book Club),,,,,,,,,,,
2009.0,Benjamin Rosenbaum/Cory Doctorow,,True Names,Fast Forward 2 (Pyr),,,,,,,,,,,
2009.0,Charles Coleman Finlay,,The Political Prisoner,Fantasy & Science Fiction,,,,,,,,,,,
2007.0,Connie Willis,Winner,All Seated on the Ground,Asimov's Science Fiction,,,,,,,,,,,
2007.0,Kristine Kathryn Rusch,,Recovering Apollo 8,Asimov's Science Fiction,,,,,,,,,,,
