Year,Author(s),Hugo,Novelette,Publisher or publication,Nika,Tom,Tom Date Read,Tom Rating,Tom Shelf
1959.0,Zenna Henderson,,Captivity,The Magazine of Fantasy & Science Fiction,,,,,
1959.0,Rog Phillips,,Rat in the Skull,If,,,,,
1959.0,Pauline Ashwell,,Unwillingly to School,Astounding Science-Fiction,,,,,
1959.0,Katherine MacLean,,Second Game,Astounding Science-Fiction,,,,,
1959.0,Jack Vance,,The Miracle-Workers,Astounding Science-Fiction,,,,,
1959.0,Fritz Leiber,,A Deskful of Girls,The Magazine of Fantasy & Science Fiction,,,,,
1959.0,Clifford D. Simak,Winner,The Big Front Yard,Astounding Science-Fiction,,,,,
1959.0,C.M. Kornbluth,,"Reap the Dark Tide (aka: ""Shark Ship"")",Vanguard,,,,,
1956.0,Theodore Sturgeon,,Who?,Galaxy Science Fiction,,,,,
1956.0,Murray Leinster,Winner,Exploration Team,Astounding Science-Fiction,,,,,
1956.0,L. Sprague de Camp,,A Gun for Dinosaur,Galaxy Science Fiction,,,,,
1956.0,Henry Kuttner/C. L. Moore,,Home There's No Returning,No Boundaries (Ballantine Books),,,,,
1956.0,F. L. Wallace,,The Assistant Self,Fantastic Universe,,,,,
1956.0,Eric Frank Russell,,Legwork,Astounding Science-Fiction,,,,,
1956.0,Algis Budrys,,The End of Summer,Astounding Science-Fiction,,,,,
1956.0,Alan Nourse,,Brightside Crossing,Galaxy Science Fiction,,,,,
1955.0,"Walter M. Miller, Jr.",Winner,The Darfsteller,Astounding Science-Fiction,,,,,
1954.0,Theodore Cogswell,,The Wall Around the World,Beyond Fantasy Fiction,,,,,
1954.0,Poul Anderson,,The Adventure of the Misplaced Hound,Universe,,,,,
1954.0,Poul Anderson,,Sam Hall,Astounding Science-Fiction,,,,,
1954.0,Philip K. Dick,,Second Variety,Space Science Fiction,,,,,
1954.0,James Blish,Winner,"Earthman, Come Home",Astounding Science-Fiction,,,,,
1951.0,Poul Anderson,,The Helping Hand,Astounding Science-Fiction,,,,,
1951.0,James Blish,,Okie,Astounding Science-Fiction,,,,,
1951.0,Eric Frank Russell,,Dear Devil,Other Worlds,,,,,
1951.0,Cyril M. Kornbluth,Winner,The Little Black Bag,Astounding Science-Fiction,,,,,
1951.0,Cordwainer Smith,,Scanners Live in Vain,Fantasy Book,,,,,
1946.0,Murray Leinster,Winner,First Contact,Astounding Science-Fiction,,,,,
1946.0,Lewis Padgett,,The Piper's Son,Astounding Science-Fiction,,,,,
1946.0,Lester del Rey,,Into Thy Hands,Astounding Science-Fiction,,,,,
1946.0,Fredric Brown,,Pi in the Sky,Thrilling Wonder Stories,,,,,
1946.0,A. E. van Vogt,,The Mixed Men,Astounding Science-Fiction,,,,,
1945.0,Isaac Asimov,,"The Big and the Little (""The Merchant Princes"")",Astounding Science-Fiction,,,,,
1945.0,Fredric Brown,,Arena,Astounding Science-Fiction,,,,,
1945.0,Clifford D. Simak,Winner,City,Astounding Science-Fiction,,,,,
1945.0,C. L. Moore/Henry Kuttner (as Lewis Padgett),,When the Bough Breaks,Astounding Science-Fiction,,,,,
1945.0,C. L. Moore/Henry Kuttner (as Lawrence O'Donnell),,The Children's Hour,Astounding Science-Fiction,,,,,
1945.0,C. L. Moore,,No Woman Born,Astounding Science-Fiction,,,,,
1944.0,Leigh Brackett,,Citadel of Lost Ships,Planet Stories,,,,,
1944.0,Leigh Brackett,,The Halfling,Astonishing Stories,,,,,
1944.0,Henry Kuttner (as Lewis Padgett),,The Proud Robot,Astounding Science-Fiction,,,,,
1944.0,Henry Kuttner,,Winner (as Lewis Padgett),,,,,,
1944.0,Fritz Leiber,,Thieves' House,Unknown Worlds,,,,,
1944.0,Eric Frank Russell,,Symbiotica,Astounding Science-Fiction,,,,,
1944.0,C. L. Moore,Winner (as Lewis Padgett),Mimsy Were the Borogoves,Astounding Science-Fiction,,,,,
1943.0,Robert A. Heinlein (as Anson MacDonald),,Goldfish Bowl,Astounding Science Fiction,,,,,
1943.0,Isaac Asimov,Winner,"Foundation (aka ""The Encyclopedists"")",Astounding Science Fiction,,,,,
1943.0,Isaac Asimov,,"Bridle and Saddle (aka ""The Mayors"")",Astounding Science Fiction,,,,,
1943.0,Fredric Brown,,The Star Mouse,Planet Stories,,,,,
1943.0,C. L. Moore,,There Shall Be Darkness,Astounding Science Fiction,,,,,
1943.0,A. E. van Vogt,,The Weapon Shop,Astounding Science Fiction,,,,,
1941.0,Theodore Sturgeon,,It!,Unknown,,,,,
1941.0,Robert A. Heinlein,Winner,The Roads Must Roll,Astounding Science Fiction,,,,,
1941.0,Robert A. Heinlein,,Blowups Happen,Astounding Science Fiction,,,,,
1941.0,Jack Williamson,,Darker Than You Think,Unknown,,,,,
1941.0,Harry Bates,,Farewell to the Master,Astounding Science Fiction,,,,,
1939.0,Robert E. Howard,,Pigeons from Hell,Weird Tales,,,,,
1939.0,John W. Campbell,,Dead Knowledge,Astounding Stories,,,,,
1939.0,Henry Kuttner,,Hollywood on the Moon,Thrilling Wonder Stories,,,,,
1939.0,Clifford D. Simak,Winner,Rule 18,Astounding Science-Fiction,,,,,
1939.0,C. L. Moore,,Werewoman,Leaves,,,,,
