Year,Author(s),Hugo,Novelette,Publisher or publication,Nika,Tom,Tom Date Read,Tom Rating,Tom Shelf
2015.0,Edward M. Lerner,,Championship B’tok,Analog Science Fiction and Fact,,,,,
2014.0,Vox Day,,Opera Vita Aeterna,The Last Witchking (Marcher Lord Hinterlands),,,,,
2014.0,Ted Chiang,,"The Truth of Fact, the Truth of Feeling",Subterranean Magazine,,,,,
2014.0,Mary Robinette Kowal,Winner,The Lady Astronaut of Mars,Tor.com,,,,,
2014.0,Brad R. Torgersen,,The Exchange Officers,Analog Science Fiction and Fact,,,,,
2014.0,Aliette de Bodard,,The Waiting Stars,The Other Half of the Sky (Candlemark & Gleam),,,,,
2013.0,Thomas Olde Heuvelt,,The Boy Who Cast No Shadow,Postscripts: Unfit For Eden (PS Publishing),,,,,
2013.0,Seanan McGuire,,In Sea-Salt Tears,Self-published,,,,,
2013.0,Seanan McGuire,,Rat-Catcher,A Fantasy Medley 2 (Subterranean Press),,,,,
2013.0,Pat Cadigan,Winner,The Girl-Thing Who Went Out for Sushi,Edge of Infinity (Solaris Books),,,,,
2013.0,Catherynne M. Valente,,Fade To White,Clarkesworld Magazine,,,,,
2012.0,Rachel Swirsky,,Fields of Gold,Eclipse #4 (Night Shade Books),,,,,
2012.0,Paul Cornell,,The Copenhagen Interpretation,Asimov's Science Fiction,,,,,
2012.0,Geoff Ryman,,What We Found,Fantasy & Science Fiction,,,,,
2012.0,Charlie Jane Anders,Winner,"Six Months, Three Days",Tor.com,,,,,
2012.0,Brad R. Torgersen,,Ray of Light,Analog Science Fiction and Fact,,,,,
2011.0,Sean McMullen,,Eight Miles,Analog Science Fiction and Fact,,,,,
2011.0,James Patrick Kelly,,Plus or Minus,Asimov's Science Fiction,,,,,
2011.0,Eric James Stone,,"The Leviathan, Whom Thou Hast Made",Analog Science Fiction and Fact,,,,,
2011.0,Allen Steele,Winner,The Emperor of Mars,Asimov's Science Fiction,,,,,
2011.0,Aliette de Bodard,,"The Jaguar House, in Shadow",Asimov's Science Fiction,,,,,
2010.0,Rachel Swirsky,,"Eros, Philia, Agape",Tor.com,,,,,
2010.0,Peter Watts,Winner,The Island,The New Space Opera #2 (Eos),,,,,
2010.0,Paul Cornell,,One of Our Bastards is Missing,The Solaris Book of New Science Fiction #3 (Solaris Books),,,,,
2010.0,Nicola Griffith,,It Takes Two,Eclipse #3 (Night Shade Books),,,,,
2010.0,Eugie Foster,,"Sinner, Baker, Fabulist, Priest; Red Mask, Black Mask, Gentleman, Beast",Interzone,,,,,
2010.0,Charles Stross,,Overtime,Tor.com,,,,,
2009.0,Paolo Bacigalupi,,The Gambler,Fast Forward 2 (Pyr),,,,,
2009.0,Mike Resnick,,Alastair Baffle's Emporium of Wonders,Asimov's Science Fiction,,,,,
2009.0,John Kessel,,Pride and Prometheus,Fantasy & Science Fiction,,,,,
2009.0,James Alan Gardner,,The Ray-Gun: A Love Story,Asimov's Science Fiction,,,,,
2009.0,Elizabeth Bear,Winner,Shoggoths in Bloom,Asimov's Science Fiction,,,,,
2008.0,Ted Chiang,Winner,The Merchant and the Alchemist's Gate,Fantasy & Science Fiction,,,,,
2008.0,Greg Egan,,Dark Integers,Asimov's Science Fiction,,,,,
2008.0,Greg Egan,,Glory,The New Space Opera (Eos),,,,,
2008.0,David Moles,,Finisterra,Fantasy & Science Fiction,,,,,
2008.0,Daniel Abraham,,The Cambist and Lord Iron: a Fairytale of Economics,Logorrhea (Bantam Books),,,,,
2007.0,Paolo Bacigalupi,,Yellow Card Man,Asimov's Science Fiction,,,,,
2007.0,Mike Resnick,,All the Things You Are,Jim Baen's Universe,,,,,
2007.0,Michael F. Flynn,,"Dawn, and Sunset, and the Colours of the Earth",Asimov's Science Fiction,,,,,
2007.0,Ian McDonald,Winner,The Djinn's Wife,Asimov's Science Fiction,,,,,
2007.0,Geoff Ryman,,Pol Pot's Beautiful Daughter,Fantasy & Science Fiction,,,,,
2006.0,Peter S. Beagle,Winner,Two Hearts,Fantasy & Science Fiction,,,,,
2006.0,Paolo Bacigalupi,,The Calorie Man,Fantasy & Science Fiction,,,,,
2006.0,Michael A. Burstein,,TelePresence,Analog Science Fiction and Fact,,,,,
2006.0,Howard Waldrop,,The King of Where-I-Go,Scifi.com,,,,,
2006.0,Cory Doctorow,,"I, Robot",The Infinite Matrix,,,,,
