Year,Author(s),Novel,Publisher,Nika,Tom,Hugo,Nebula,WFA,Mythopoeic,Kitschies
2024.0,Emily Tesh,Some Desperate Glory,Tordotcom/Orbit Books,,,Winner
2024.0,Vajra Chandrasekera,The Saint of Bright Doors,Tordotcom,,,Nominee,Winner
2024.0,Martha Wells,Witch King,Tordotcom,In progress,Started but struggling,Nominee,Nominee,Nominee
2024.0,Ann Leckie,Translation State,Orbit Books,,,Nominee,Nominee
2024.0,Shannon Chakraborty,The Adventures of Amina al-Sirafi,Harper Voyager,,,Nominee
2024.0,John Scalzi,Starter Villain,Tor Books,,,Nominee
2024.0,Wole Talabi,Shigidi and the Brass Head of Obalufon,DAW; Gollancz,,,,Nominee,Nominee
2024.0,S. L. Huang,The Water Outlaws,Tordotcom; Solaris UK,,,,Nominee
2024.0,Annalee Newitz,The Terraformers,Tordotcom; Orbit UK,,,,Nominee
2023.0,Ursula Vernon (as T. Kingfisher),Nettle & Bone,Tor Books,Read (didn't enjoy),,Winner,Nominee
2023.0,Travis Baldree,Legends & Lattes,Tor Books,In the queue,In the queue,Nominee,Nominee
2023.0,Tamsyn Muir,Nona the Ninth,Tordotcom,,,Nominee,Nominee
2023.0,John Scalzi,The Kaiju Preservation Society,Tor Books,,,Nominee
2023.0,Silvia Moreno-Garcia,The Daughter of Doctor Moreau,Del Rey Books,,,Nominee
2023.0,Mary Robinette Kowal,The Spare Man,Tor Books,,,Nominee
2023.0,R. F. Kuang,Babel: Or the Necessity of Violence: An Arcane History of the Oxford Translators' Revolution,Harper Voyager,,,,Winner
2023.0,Nicola Griffith,Spear,Tordotcom,,,,Nominee,Nominee
2023.0,Ray Nayler,The Mountain in the Sea,"MCD, Weidenfeld & Nicolson",,,,Nominee
2023.0,Sacha Lamb,When the Angels Left the Old Country,Levine Querido,,,,,,Winner
2023.0,Kelly Barnhill,When Women Were Dragons,Doubleday,,,,,,Nominee
2023.0,Alex Jennings,The Ballad of Perilous Graves,Redhook,,,,,,Nominee
2023.0,GennaRose Nethercott,Thistlefoot,Anchor Books,,,,,,Nominee
2023.0,Peng Shepherd,The Cartographers,William Morrow,,,,,,Nominee
2022.0,Arkady Martine,A Desolation Called Peace,Tor Books,,,Winner,Nominee
2022.0,P. Djèlí Clark,A Master of Djinn,Tordotcom/Orbit UK,,,Nominee,Winner,Nominee,Nominee
2022.0,Becky Chambers,"The Galaxy, and the Ground Within",Harper Voyager/Hodder & Stoughton,,,Nominee,,,,Winner
2022.0,Ryka Aoki,Light From Uncommon Stars,Tor Books/St Martin's Press,,,Nominee,,,Nominee
2022.0,Andy Weir,Project Hail Mary,Ballantine Books/Del Rey Books,In the queue,Read,Nominee
2022.0,Shelley Parker-Chan,She Who Became the Sun,Tor Books/Mantle Books,,,Nominee
2022.0,C. L. Clark,The Unbroken,Orbit Books,,,,Nominee
2022.0,S. B. Divya,Machinehood,Saga Press,,,,Nominee
2022.0,Jason Sanford,Plague Birds,Apex,,,,Nominee
2022.0,Hilary Leichter,Temporary,,,,,,,,Winner
2022.0,Zen Cho,Black Water Sister,,,,,,,,Nominee
2022.0,"Un-su Kim, trans. by Sean Lin Halbert",The Cabinet,,,,,,,,Nominee
2022.0,Adrian Tchaikovsky,Bear Head,,,,,,,,Nominee
2022.0,Catriona Ward,The Last House on Needless Street,,,,,,,,Nominee
2022.0,Caroline Hardaker,Composite Creatures,,,,,,,,Nominee
2022.0,Calvin Kasulke,Several People Are Typing,,,,,,,,Nominee
2022.0,Everina Maxwell,Winter's Orbit,,,,,,,,Nominee
2022.0,Xiran Jay Zhao,Iron Widow,,,,,,,,Nominee
2022.0,Jo Walton,Or What You Will,Tor,,,,,,Winner
2022.0,Katherine Addison,The Witness for the Dead,Tor,,,,,,Nominee
2022.0,Garth Nix,Terciel and Elinor,Katherine Tegen Books,,,,,,Nominee
2021.0,Martha Wells,Network Effect,Tor.com Publishing,In the queue,Read,Winner,Winner
2021.0,Susanna Clarke,Piranesi,Bloomsbury Publishing,Read,Read,Nominee,Nominee,Nominee,Nominee,Winner
2021.0,N. K. Jemisin,The City We Became,Orbit Books,,,Nominee,Nominee,,,Nominee
2021.0,Rebecca Roanhorse,Black Sun,Saga Press,,,Nominee,Nominee
2021.0,Tamsyn Muir,Harrow the Ninth,Tor.com Publishing,,,Nominee
2021.0,Mary Robinette Kowal,The Relentless Moon,Tor Books,,,Nominee
2021.0,Silvia Moreno-Garcia,Mexican Gothic,Del Rey Books,,,,Nominee,Nominee,Nominee
2021.0,C. L. Polk,The Midnight Bargain,Erewhon Books,,,,Nominee,Nominee
